X,Y,Z
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
900.0,850.0,98.337502
908.442869,851.259975,98.337502
937.161236,855.408578,98.337502
986.307841,860.742186,98.337502
1046.225406,859.037445,98.337502
1105.276392,848.653799,98.337502
1163.15144,832.850037,98.337502
1220.536447,815.32934,98.337502
1278.457188,799.785512,98.337502
1338.130629,794.219147,98.337502
1397.995262,797.126387,98.337502
1453.863661,817.804908,98.337502
1498.593472,857.485927,98.337502
1534.835614,905.265593,98.337502
1567.85023,955.363336,98.337502
1599.346432,1006.442161,98.337502
1618.74259,1062.977433,98.337502
1626.409309,1122.454897,98.337502
1630.060572,1182.341079,98.337502
1632.482672,1242.292262,98.337502
1634.530763,1302.257932,98.337502
1636.465116,1362.227341,98.337502
1638.364895,1422.198157,98.337502
1640.254156,1482.169186,98.337502
1642.140237,1542.140855,98.337502
1643.973674,1600.468766,98.337502
1643.94901,1658.034794,98.212497
1644.360127,1720.415136,98.212497
1644.76291,1776.580854,98.212505
1644.729074,1839.992941,98.2125
1660.205062,1904.457345,98.212499
1687.454059,1954.149371,98.212499
1712.621498,2003.652312,98.212499
1730.099007,2061.907789,98.212499
1735.058998,2087.253855,98.212499
1735.058998,2087.253855,98.212499
1735.058998,2087.253855,98.212499
1735.217525,2088.418689,98.212499
1737.078631,2100.846471,98.212499
1759.247321,2135.351473,98.212499
1802.033233,2157.404603,98.212499
1858.153181,2166.534736,98.212499
1914.180351,2164.023494,98.212499
1972.468108,2158.272061,98.212499
2030.598092,2157.492792,98.212499
2099.627767,2167.878284,98.212499
2133.447801,2177.567518,98.212499
2135.850846,2178.30635,98.212499
2145.722739,2182.772142,98.212499
2176.783844,2194.813361,98.212499
2222.912873,2211.076033,98.212499
2275.530607,2225.001518,98.212499
2314.39908,2229.522172,98.212499
2365.307061,2231.600544,98.212499
2401.153493,2228.676264,98.212499
2447.7924,2233.612721,98.212499
2494.847409,2256.650311,98.212499
2534.618865,2316.158784,98.212499
2546.932129,2364.199449,98.212499
2563.374538,2415.627249,98.212499
2567.04056,2425.939976,98.212499
2567.04056,2425.939976,98.212499
2567.04056,2425.939976,98.212499
